rank,topic_id,title,article_url,external_url,source_domain_label,excerpt,points,author_user_id,author_display_name,time_text,posted_at,collected_at,comment_count
1,28430,Meta의 HyperAgents — 에이전트가 스스로 자신의 하네스를 설계할 때,https://news.hada.io/topic?id=28430,https://cobusgreyling.medium.com/hyperagents-by-meta-892580e14f5b,cobusgreyling.medium.com,Meta와 UBC가 공동 발표한 HyperAgents는 작업 수행 코드뿐 아니라 개선 메커니즘 자체까지 스스로 수정하는 자기참조적 AI 에이전트 프레임워크 ...,3,neo,GN⁺,3시간전,2026-04-12T10:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
2,28353,"Show GN: legalize-kr 법령을 코드처럼, 판례도 코드처럼. 모든 법령과 판례는 Markdown 파일, 모든 개정과 판결...",https://news.hada.io/topic?id=28353,,legalize.kr,legalize-kr가 무엇인가요? legalize-kr은 법제처의 국가법령정보 공동활용이 제공하는 대한민국의 법령 및 판례들을 Markdown + Git 히스토리로 ...,69,ninebow,ninebow,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,12
3,28427,Managed Agents 확장하기: 두뇌와 손을 분리하기,https://news.hada.io/topic?id=28427,https://www.anthropic.com/engineering/managed-agents,anthropic.com,장기 실행 에이전트를 위한 호스팅 서비스 Managed Agents는 하네스(harness)가 모델 발전에 따라 변해도 안정적으로 유지되는 인터페이스 기반 아...,2,neo,GN⁺,3시간전,2026-04-12T10:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,0
4,28324,코드를 읽기 전에 실행하는 Git 명령들,https://news.hada.io/topic?id=28324,https://piechowski.io/post/git-commands-before-reading-code/,piechowski.io,새로운 코드베이스를 접할 때 Git 이력 분석으로 프로젝트의 구조와 위험 구역을 파악해 효율적인 탐색 방향을 설정 최근 1년간 가장 자주 변경된 ...,76,neo,GN⁺,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
5,28294,agent-skills - AI 코딩 에이전트를 위한 프로덕션급 엔지니어링 스킬 모음,https://news.hada.io/topic?id=28294,https://github.com/addyosmani/agent-skills,github.com/addyosmani,"AI 코딩 에이전트가 스펙·테스트·보안 리뷰를 건너뛰는 문제를 해결하기 위해, 구글 클라우드 AI 디렉터 Addy Osmani가 시니어 엔지니어 수준의 워...",94,xguru,xguru,4일전,2026-04-08T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,6
6,28370,Advisor 전략: Opus를 조언자로 활용해 Sonnet의 지능을 끌어올리기,https://news.hada.io/topic?id=28370,https://claude.com/blog/the-advisor-strategy,claude.com,"Claude Platform에서 어드바이저 전략이 공식 도입됨 — Opus를 어드바이저로, Sonnet 또는 Haiku를 실행자(executor)로 조합해 비용은 낮추면서 Op...",30,neo,GN⁺,2일전,2026-04-10T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,1
7,28364,strix - 앱의 취약점을 찾아 수정하는 오픈소스 AI 해커,https://news.hada.io/topic?id=28364,https://github.com/usestrix/strix,github.com/usestrix,"자율 AI 에이전트 방식으로 실제 해커처럼 코드를 직접 실행하고, 취약점을 발견한 뒤 실제 PoC(개념 증명) 로 검증하는 오픈소스 보안 테스트 도...",27,xguru,xguru,2일전,2026-04-10T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,0
8,28377,SQLite로 실제 쇼핑몰을 운영하며 배운 것들,https://news.hada.io/topic?id=28377,https://ultrathink.art/blog/sqlite-in-production-lessons,ultrathink.art,"ultrathink.art는 AI 에이전트가 자율적으로 운영하는 이커머스 쇼핑몰이다. 상품 디자인, 주문 처리, 블로그 작성까지 모두 AI가 담당한다. 이 글...",23,darjeeling,darjeeling,2일전,2026-04-10T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,4
10,28403,"프랑스, 미국 기술 의존 줄이기 위해 Windows 대신 Linux로 전환",https://news.hada.io/topic?id=28403,https://techcrunch.com/2026/04/10/france-to-ditch-windows-for-linux-to-reduce-reliance-on-us-tech/,techcrunch.com,프랑스 정부가 Microsoft Windows를 사용하는 일부 공공 부문 컴퓨터를 Linux로 전환해 미국 기술 의존도를 줄이고 디지털 주권을 강화하려는 계획...,9,neo,GN⁺,1일전,2026-04-11T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,5
11,28323,GBrain — 오픈소스 개인 지식 베이스,https://news.hada.io/topic?id=28323,https://github.com/garrytan/gbrain,github.com/garrytan,"YC CEO Garry Tan이 Karpathy의 LLMWiki 스타일로 만든 개인 지식 관리(Knowledge Brain) 도구 CLI/라이브러리로도 사용 가능하지만, OpenClaw와 ...",42,xguru,xguru,3일전,2026-04-09T13:04:17.774572+09:00,2026-04-12T13:04:17.774572+09:00,0
