topic_id,title,topic_url,slug,views,reply_count,last_posted_at,bumped_at,created_at,last_poster_username,tags,category_slug
9559,OpenHarness: Claude Code보다 44배 가벼운 Python 기반 오픈소스 AI 에이전트 하네스 프레임워크 (feat. HKUDS),https://discuss.pytorch.kr/t/openharness-claude-code-44-python-ai-feat-hkuds/9559,openharness-claude-code-44-python-ai-feat-hkuds,10534,0,2026-04-04T11:00:54.688Z,2026-04-04T11:00:54.688Z,2026-04-04T11:00:54.688Z,9bow,opensource|claude-code|multi-agent|agent|hkuds|mcp|openharness,news
9562,[GN] 지금 가장 중요한 AI 아이디어들 (2026년 4월),https://discuss.pytorch.kr/t/gn-ai-2026-4/9562,gn-ai-2026-4,599,0,2026-04-07T09:19:21.507Z,2026-04-07T09:19:21.507Z,2026-04-04T03:30:17.550Z,JunHan_Zang,geeknews|andrej-karpathy|autonomous-agent,news
9557,PyPI 보안팀 공식 공급망 공격 사고 보고서: LiteLLM·Telnyx 악성 패키지 사건 그리고 방어하기,https://discuss.pytorch.kr/t/pypi-litellm-telnyx/9557,pypi-litellm-telnyx,124,0,2026-04-03T13:06:14.005Z,2026-04-03T13:06:14.005Z,2026-04-03T13:06:13.876Z,KwonHan,litellm,news
9536,VibeVoice: 60분 장시간 음성 인식(ASR)과 실시간 TTS를 통합한 Microsoft의 오픈소스 음성 AI 모델 패밀리,https://discuss.pytorch.kr/t/vibevoice-60-asr-tts-microsoft-ai/9536,vibevoice-60-asr-tts-microsoft-ai,249,0,2026-04-03T09:30:23.326Z,2026-04-03T09:30:23.326Z,2026-04-03T09:30:23.326Z,9bow,microsoft|text-to-speech|tts|asr|speech-recognition|vibevoice,news
9352,Modly: 이미지 한 장으로 3D 모델을 생성하는 로컬 실행 데스크톱 앱 (feat. Lightning Pixel),https://discuss.pytorch.kr/t/modly-3d-feat-lightning-pixel/9352,modly-3d-feat-lightning-pixel,230,0,2026-04-03T06:30:57.327Z,2026-04-03T06:30:57.327Z,2026-04-03T06:30:57.327Z,9bow,pytorch|electron|3d-mesh|image-to-3d|lightning-pixel|modly,news
9547,KG-Whisper: 키워드 가이드(KG)를 통한 음성 인식(ASR) 최적화 구현 프로젝트 (feat. @hyuk님),https://discuss.pytorch.kr/t/kg-whisper-kg-asr-feat-hyuk/9547,kg-whisper-kg-asr-feat-hyuk,180,0,2026-04-03T04:00:41.674Z,2026-04-03T04:00:41.674Z,2026-04-03T04:00:41.674Z,9bow,whisper|asr|kg-whisper-pt|adakws|pytorchkr-hyuk|keyword-guided|kg-whisper|aiola-lab,news
9548,"Google DeepMind, 모바일 기기부터 클라우드까지 사용 가능한, 통합 멀티모달 모델 Gemma 4 공개",https://discuss.pytorch.kr/t/google-deepmind-gemma-4/9548,google-deepmind-gemma-4,1231,0,2026-04-03T03:30:44.461Z,2026-04-03T03:30:44.461Z,2026-04-03T03:30:44.461Z,9bow,google|on-device|gemma|small-multimodal|on-device-ai|google-deepmind|gemma-4-e2b|gemma-4-e4b|gemma-4,news
9443,Vibe Coding XR: Gemini와 XR Blocks로 자연어만으로 XR 앱을 60초 만에 프로토타이핑하기 (feat. Google Research),https://discuss.pytorch.kr/t/vibe-coding-xr-gemini-xr-blocks-xr-60-feat-google-research/9443,vibe-coding-xr-gemini-xr-blocks-xr-60-feat-google-research,224,0,2026-04-02T21:30:48.215Z,2026-04-02T21:30:48.215Z,2026-04-02T21:30:48.215Z,9bow,google|vibe-coding|gemini|google-research|spatial-computing|xr,news
9515,CatchMe: 나의 모든 디지털 활동을 기억하고 AI 에이전트를 개인화하는 오픈소스 메모리 시스템 (feat. HKUDS),https://discuss.pytorch.kr/t/catchme-ai-feat-hkuds/9515,catchme-ai-feat-hkuds,3358,0,2026-04-02T04:00:00.000Z,2026-04-02T04:00:00.000Z,2026-04-02T04:00:00.000Z,9bow,ai-agent|hkuds|privacy|memory|activity-tracking|personal-ai|catchme,news
9459,TradingAgents: 전문 애널리스트와 트레이더 역할을 맡은 LLM 에이전트들이 협력하는 다중 에이전트 금융 트레이딩 프레임워크,https://discuss.pytorch.kr/t/tradingagents-llm/9459,tradingagents-llm,2147,0,2026-04-02T00:30:29.362Z,2026-04-02T00:30:29.362Z,2026-04-02T00:30:29.362Z,9bow,multi-agent|langgraph|ai-for-finance|trading-agents|llm-for-financial|quantitative-finance,news
