title,content,thread,article_url,created_at,view_count,comment_count,point,author,map_id,category_cd
진짜 한국인처럼 리뷰해주는 AI 에이전트 팀 만들기 (Harness 포크 + NVIDIA 100만 페르소나),"TL;DR
리뷰를 집중적으로 해야 하는 하네스 — 코드 리뷰, 문서 리뷰, UX 리서치, 인터뷰 시뮬레이션 — 에서는 5명의 리뷰어가 5개의 다른 관점을 가져야 가치가 있다. 일반 AI 에이전트 팀은 5명이 모두 비슷한
톤·관점이라 사실상 1명의 의견이 5번 반복됨.
이 포크는 NVIDIA Nemotron-Personas-Korea(100만 행, CC BY 4.0)를 런타임 동적 검색으로 끌어와, 한국 직장의 실재 인물(직무·세대·지역·가족 상황까지)을 에이전트에 입혀서 진짜 다른 관점의 리뷰를
만든다.
왜 리뷰 하네스에 페르소나 깊이가 필요한가
같은 코드/문서/디자인을 봐도 사람마다 다른 관점을 갖는다:
45세 SI 출신 백엔드 팀장
→ ""리스크 관리 차원에서 단계별 배포로 가시죠. 검증 충분히 하고 가는 게 결국 일정 단축이 됩니다.""
24세 MZ 그로스 마케터
→ ""수치 튀었을 때 원인 가설 빠르게 세우는 자세 좋은데, 유의수준이 좀 약해요. A/B 더 돌려볼까요?""
38세 워킹맘 PM
→ ""결론적으로 이번 분기 안에 못 가는 거면, 우선순위 조정 한번 부탁드릴게요.""
27세 핀테크 출신 디자이너
→ ""사용자 인터뷰 정성 데이터에서 '쿠폰 받는 순간이 좀 밋밋하다'는 코멘트가 반복되더라구요.""
→ 같은 코드를 봐도 4명이 다른 리스크/가치/우선순위를 잡는다. 이게 리뷰 팀의 본질.
무엇이 추가되었나 (3개 신규 스킬, 비침습)
기존
revfactory/harness
는 변경 없이, description 키워드로 자동 트리거 분기:
korean-persona-search
— Parquet predicate pushdown 다축 필터(직무·지역·연령·학력·세대) + 다양성 샘플링
korean-voice-adapter
— 합쇼/해요 매트릭스 + 한국 직장 문화(보고 라인·회의 매너·우회 표현) + 13개 산업 어휘 사전
korean-persona-harness
— 메타 오케스트레이터 (서브 에이전트 5인 파이프라인: 시나리오 분석가 → 퍼소나 큐레이터 → 화법 어댑터 → 에이전트 빌더 → 다양성 QA)
Claude Code + Codex CLI 양쪽 호환 — SKILL.md 포맷 동일, 데이터셋 캐시 공유.
검증 — 같은 LLM, 같은 작업, 같은 분량 (102줄 vs 103줄)
5인 팀 주간 스탠드업 회의록 시뮬레이션. 도메인 정확도는 동등. 차이는
관점의 다양성
에서 나타난다.
일반
harness
결과:
음성 식별성: 낮음 (5명이 거의 같은 톤)
한국 직장 매너: 미미
상호 응답·격려·답례: 0회
부탁/컨펌 톤: 5회
개인 사정 노출: 0건
korean-persona-harness
결과:
음성 식별성:
매우 높음
(이름 가리고도 식별 가능)
한국 직장 매너: 풍부 (단정 회피·멘토링·컨펌 톤)
상호 응답·격려·답례:
4회
부탁/컨펌 톤:
11회
개인 사정 노출:
2건
(가족 일정·권한 호소)
Run B에만 등장한 인간적 디테일:
백엔드(두 아이 아빠)
: ""다음 주에는 제가
아이 일정
이 좀 있어서 로테이션 한 번 사전에 정리해 두면 어떨까 싶습니다.""
한국 직장 매너: 미미
한국 직장 매너: 미미
상호 응답·격려·답례: 0회
부탁/컨펌 톤: 5회
개인 사정 노출: 0건
korean-persona-harness
결과:
음성 식별성:
매우 높음
(이름 가리고도 식별 가능)
한국 직장 매너: 풍부 (단정 회피·멘토링·컨펌 톤)
상호 응답·격려·답례:
4회
부탁/컨펌 톤:
11회
개인 사정 노출:
2건
(가족 일정·권한 호소)
Run B에만 등장한 인간적 디테일:
백엔드(두 아이 아빠)
: ""다음 주에는 제가
아이 일정
이 좀 있어서 로테이션 한 번 사전에 정리해 두면 어떨까 싶습니다.""
팀장(45세) → 마케터(24세)
: ""수치 튀었을 때 원인 가설 빠르게 세우는 자세,
계속 그렇게 가시면 됩니다
.""
마케터
: ""
아, 감사합니다 팀장님!
""
팀장
: ""다만 우리 쪽 재시도 정책이 너무 공격적으로 동작해서 장애가 일부 증폭된 정황이 있습니다.
단정은 RCA 최종본에서 짓겠습니다.
""
→ 가족·세대·직무 페르소나가 발화에 자연스럽게 결합. 추상적 ""안정성 우선""이 아니라
왜 이 사람이 이 우선순위를 가지는지
가 행동에 묻어남.
가치 매트릭스 — 어디서 쓸 만한가
코드 리뷰 (5명 다른 관점) →
매우 높음
가상 사용자 인터뷰 시뮬레이션 →
매우 높음
한국 사용자용 마케팅 카피 리뷰 →
매우 높음
UX 리서치·페르소나 워크숍 → 높음
회의록·협업 시뮬레이션 → 높음
RFC·기술 문서 → 보통
인프라·아키텍처 설계 → 낮음 (기본
harness
가 적합)
설치 (1줄)
Claude Code:
/plugin marketplace add hongsw/harness  
  /plugin install harness@harness
Codex CLI:
python3 ~/.codex/skills/.system/skill-installer/scripts/install-skill-from-github.py \  
      --repo hongsw/harness \  
      --path skills/korean-persona-search \  
      --path skills/korean-voice-adapter \  
      --path skills/korean-persona-harness
데이터셋 캐시 (양 런타임 공유):
pip install huggingface_hub pyarrow  
  python3 $SKILL_DIR/korean-persona-search/scripts/download.py
⚠️ 주의:
기존
revfactory/harness
설치자는 마켓플레이스·플러그인 이름이 같아 4단계 마이그레이션 필요:
/plugin uninstall harness@harness  
  /plugin marketplace remove harness-marketplace  
  /plugin marketplace add hongsw/harness  
  /plugin install harness@harness
링크
포크 리포:
github.com/hongsw/harness
업스트림 PR #9 (머지 대기):
github.com/revfactory/harness/pull/9
검증 산출물:
_workspace/comparison_test
데이터셋:
huggingface.co/.../Nemotron-Personas-Korea
(CC BY 4.0)
원본 Harness:
github.com/revfactory/harness",geeknews_28956,https://news.hada.io/topic?id=28956,2026-04-28 08:44:45.963198,0,0,1,fastkoder,,IC02
cmux에서 파일 편집까지 편하게 하려고 만든 VSCode 스타일 Neovim 세팅,"cmux
에서 AI 에이전트가 만든 파일을 바로 확인·수정하고, 프로젝트 파일을 관리하기 쉽게 만든
VSCode 스타일 Neovim 설정
파일 탐색기
Ctrl+b
로 VSCode 사이드바처럼 파일 탐색기를 열고 닫을 수 있음
명령 팔레트
Space p
로 VSCode Command Palette처럼 Neovim 명령 검색
검색
Space ff
파일 찾기,
Space fg
프로젝트 검색,
Space fb
열린 파일 검색
Markdown 미리보기
Markdown 파일은 단축키 또는 우클릭 메뉴에서 브라우저 미리보기 가능
Git 상태
시작하자마자 현재 폴더와 Git 상태를 보여주는 상태 창 표시
저장/포커스 복귀/외부 변경 이벤트에 맞춰 Git 상태 자동 갱신
마우스 사용
상태바
TIP
클릭/hover로 상황별 단축키 도움말 표시
우클릭 메뉴에 상황별 팁, Markdown 미리보기, 클립보드 이미지 저장 추가
한글 입력 보정
한글 입력 상태에서
:ㅂ
,
:ㅈ
,
:ㅈㅂ
를
:q
,
:w
,
:wq
로 보정
클립보드 이미지 저장
파일 탐색기에서 폴더를 선택한 뒤 클립보드 이미지를 PNG로 저장 가능
기본 개발 기능
lazy.nvim 기반 플러그인 자동 설치, LSP/자동완성/포맷/Git 변경 표시 포함
다국어 문서
영어 기본 README와 한국어, 일본어, 중국어, 베트남어 README 제공
설치 가이드
LLM/Codex/MCP 설치 가이드와 언어별 init 진입 파일 포함",geeknews_28953,https://news.hada.io/topic?id=28953,2026-04-28 03:49:46.509078,0,0,2,fastkoder,,IC02
stitch가 유행시킨(?) DESIGN.md를 모아놓은 사이트,"웹사이트 디자인 가이드라인을 명세화하는 DESIGN.md 를 만드는 게 중요한 경우가 꽤 있습니다
크롬에는 현재 사이트를 기준으로 작성해주는 플러그인 있고
이번에는 유명한 사이트들 디자인 명세를 정리해서 모아놓은 사이트가 생겼습니다
apple 같은 사이트는 벌써 다운로드도 엄청나네요
이제 AI 가 만든 것만 같은 사이트들 디자인도 점차 다양하게 발전하는 기회가 되면 좋겠습니다
다른 한 편으로는 디자이너 대신 개발자들이 디자인 명세를 가지고 개발하는 사례가 생길텐데요
이게 꼭 좋은 것인가 새롭게 일하는 방식인가에 대해서 논란도 될 것 같습니다",geeknews_28947,https://news.hada.io/topic?id=28947,2026-04-27 16:49:47.055887,0,1,20,godrm,,IC02
Show GN: TTSC - TypeScript-Go 기반 transformer & runner,"TypeScript-Go (v7) 릴리스가 약 두 달 뒤로 예고됨.
typia
등 JS 기반 플러그인 라이브러리들의 종말이 다가옴
TS v7 시대에도 살아남을 수 있게 하려고 시작한 프로젝트
ttsc
는 tsgo 기반 transformer/plugin host (
npx ttsc
)
ttsx
는 tsgo 기반 TypeScript runner (
npx ttsx src/index.ts
)
ts-node
보다 초기 구동이 10배 빠르고
tsx
와 달리 타입 체크도 함께 수행",geeknews_28946,https://news.hada.io/topic?id=28946,2026-04-27 16:49:47.598547,0,0,2,autobe,,IC02
tailscale 개인 사용자 무제한 디바이스 접속 가능,"Personal Plus 플랜 종료
Personal Plus의 유료 기능이 무료료 전환
최대 6명 사용자
무제한 디바이스
기존 유료 요금은 모두 좌석 기반(seat-based) 요금제로 전환",geeknews_28941,https://news.hada.io/topic?id=28941,2026-04-27 13:49:48.143939,0,4,12,kallare,,IC02
Mixture of Experts(MoE)란 무엇인가 — DeepSeek이 왜 1.6조 파라미터인데 싸게 돌아가는지,"Mixture of Experts(MoE)란 무엇인가 — DeepSeek이 왜 1.6조 파라미터인데 싸게 돌아가는지
DeepSeek V4가 1.6조 파라미터이면서 GPT-5.5의 10분의 1 가격에 서비스될 수 있는 이유를 MoE 아키텍처로 설명합니다.
MoE는 여러 전문가(Expert) 서브모델과 어떤 전문가를 쓸지 결정하는 라우터(게이팅 네트워크)로 구성됩니다. 핵심은 매 토큰마다 전체 파라미터 중 일부만 선택적으로 활성화한다는 것입니다. 기존 밀집 모델(Dense Model)은 입력이 무엇이든 모든 파라미터가 계산에 참여하지만, MoE는 라우터가 가장 적합한 전문가 몇 개만 골라 처리합니다.
DeepSeek V4-Pro 기준으로 전체 파라미터 1.6조 중 토큰당 490억(약 3%)만 활성화됩니다. 1.6조 규모의 지식을 담으면서 실제 추론 비용은 490억 수준 모델과 비슷한 셈입니다. 일반적으로 MoE는 같은 규모 밀집 모델 대비 가격 대비 성능을 3~5배 개선합니다.
단점도 있습니다. 계산은 희소하게 이루어지지만 모든 전문가의 파라미터를 메모리에 올려두어야 해 VRAM 요구량이 높고, 학습 시 특정 전문가에게 부하가 집중되는 불균형 문제를 별도로 관리해야 합니다.
2026년 현재 GPT-4, Gemini 1.5, Mixtral, DeepSeek 시리즈 등 주요 프론티어 모델 대부분이 MoE 기반입니다. AI 모델 경쟁의 축이 단순 크기에서 비용 대비 성능으로 이동하면서 MoE가 사실상 표준 아키텍처로 자리잡은 결과입니다.",geeknews_28939,https://news.hada.io/topic?id=28939,2026-04-27 13:49:48.689407,0,2,4,nextvine,,IC02
Agentic Inbox - AI 에이전트 탑재 셀프호스팅 이메일 클라이언트,"Cloudflare Workers 위에서 전체 실행
되는 셀프호스팅 이메일 클라이언트로, 이메일 송수신·관리와
AI 에이전트 기반 자동 답장 초안 생성
을 하나의 앱에서 처리
수신 이메일은
Cloudflare Email Routing
으로 도착하고, 각 메일박스는
독립된 Durable Object
(SQLite 데이터베이스)에 격리 저장되며, 첨부파일은
R2
에 보관
사이드 패널에 내장된
AI 에이전트
가
9개 이메일 도구
(읽기, 검색, 초안 작성, 전송)를 사용하며, 신규 이메일 수신 시 자동으로 답장 초안을 생성하되
전송 전 반드시 사용자 확인을 거침
AI 에이전트는
Cloudflare Agents SDK
(AIChatAgent)와
Workers AI
(
@cf/moonshotai/kimi-k2.5
모델)로 구동되며, 스트리밍 마크다운 응답과 도구 호출 가시성 제공
메일박스별
커스텀 시스템 프롬프트
설정 가능, 영구 채팅 이력 유지, 리치 텍스트 작성기·답장/전달 스레딩·폴더 정리·검색·첨부파일 등
풀 이메일 클라이언트 기능
지원
MCP 서버
를
/mcp
경로에 노출하여 Claude Code, Cursor 등 외부 AI 도구에서 메일박스 조작 가능
인증은
Cloudflare Access JWT 검증
으로 처리하며, Access 정책을 통과한 사용자는 모든 메일박스에 접근 가능
프론트엔드는 React 19 + Tailwind CSS + Zustand + TipTap, 백엔드는 Hono + Cloudflare Workers
'Deploy to Cloudflare' 원클릭 배포 후 Email Routing·Access 설정으로 구성 끝
Apache 2.0 라이선스",geeknews_28926,https://news.hada.io/topic?id=28926,2026-04-27 09:49:49.235511,0,1,5,xguru,,IC02
Obscura - 오픈소스 헤드리스 브라우저,"웹 스크래핑과 AI 에이전트 자동화에 특화된 헤드리스 브라우저 엔진
V8 엔진을 내장해 실제 JavaScript를 실행하며,
Chrome DevTools Protocol(CDP)
구현으로 Puppeteer·Playwright 코드
그대로 재사용
가능
헤드리스 Chrome 대비 메모리
30MB
(vs 200MB+), 바이너리
70MB
(vs 300MB+), 페이지 로드
85ms
(vs ~500ms)로 대폭 경량화
페이지 로드
85ms
수준이라 대량 크롤링 시 Chrome 대비 대기 시간이 5~10배 단축
단일 바이너리 배포로 Chrome, Node.js 등
외부 의존성 제로
--stealth
스텔스 모드
내장:
navigator.webdriver
은닉, 네이티브 함수 위장 등
안티봇 우회 설정 자동 적용
세션별 핑거프린트 랜덤화(GPU, 캔버스, 오디오 등)
3,520개 도메인의 광고·애널리틱스·텔레메트리
트래커 자동 차단
으로
페이지 렌더링 속도까지 개선
CLI에서
obscura fetch
로 단일 페이지 렌더링,
obscura serve
로 CDP WebSocket 서버 기동
obscura scrape url1 url2 ... --concurrency 25
로
손쉬운 병렬 스크래핑
--eval ""document.title""
처럼 CLI에서
JS 표현식 바로 실행
해 결과만 뽑을 수 있어, 간단한 데이터 추출에 유용함
CDP API로 Target, Page, Runtime, DOM, Network, Fetch, Input 등 주요 도메인 지원,
DOM→Markdown 변환
(LP.getMarkdown)도 포함
폼 제출·로그인 시 POST 처리, 302 리다이렉트, 쿠키 유지를
자동 처리
해서 인증 흐름 직접 구현할 필요 없음
Apache 2.0 라이선스",geeknews_28920,https://news.hada.io/topic?id=28920,2026-04-27 09:49:49.782434,0,4,23,xguru,,IC02
mini-swe-agent - 100줄짜리 AI 에이전트로 GitHub 이슈 해결 및 커맨드라인 지원,"SWE-bench와 SWE-agent를 만든 Princeton·Stanford 팀이 개발한
최소주의 AI 코딩 에이전트
약 100줄의 Python 코드
로 구성된 초경량 AI 소프트웨어 엔지니어링 에이전트로, 거대한 설정 파일이나 모노레포 없이 동작
bash만 도구로 사용
하며 LLM의 tool-calling 인터페이스 없이도 어떤 모델과든 호환 가능
SWE-bench verified 벤치마크에서 74% 이상
달성, Gemini 3 Pro 기준으로도 동일 수준 기록
subprocess.run
으로 각 액션을
독립 실행
해 상태 유지 쉘 세션이 불필요하고, Docker 전환 시
docker exec
로 교체하는 수준의 단순함
완전 선형 히스토리 구조
로 트래젝토리와 LLM에 전달되는 메시지가 동일해 디버깅·파인튜닝에 최적
로컬,
Docker/Podman, Singularity/Apptainer, Bubblewrap, Contree
등 다양한 샌드박스 환경 배포 지원
litellm, openrouter, portkey
등을 통해 모든 모델 지원,
/completion
및
/response
엔드포인트와 interleaved thinking 호환
Meta, NVIDIA, IBM, Essential AI, Nebius, Anyscale,
Princeton·Stanford
등에서 채택
Claude Code 대비
시작 속도가 훨씬 빠르며
, 에이전트 스캐폴드 과적합 없이 LLM 자체 성능을 평가하는 베이스라인으로 활용 가능
CLI(
mini
), 배치 추론,
트래젝토리 브라우저
, Python 바인딩(
DefaultAgent
,
LitellmModel
,
LocalEnvironment
) 제공
MIT 라이선스",geeknews_28891,https://news.hada.io/topic?id=28891,2026-04-26 08:49:50.331052,0,1,11,xguru,,IC02
Gemini Enterprise Agent Platform — 구글 클라우드의 차세대 AI 에이전트 통합 플랫폼,"구글 클라우드가 기존 Vertex AI를 확장·진화시킨 새로운 플랫폼 'Gemini Enterprise Agent Platform'을 공식 출시했습니다. 이 플랫폼은 AI 에이전트(사람의 개입 없이 스스로 판단하고 행동하는 AI 소프트웨어)를 만들고, 확장하고, 통제하고, 최적화하는 전 과정을 하나의 환경에서 처리할 수 있도록 설계되었습니다. 앞으로 기존 Vertex AI의 모든 서비스와 로드맵은 이 Agent Platform을 통해서만 제공될 예정입니다.
플랫폼의 핵심 구성 — Build, Scale, Govern, Optimize
Agent Studio와 ADK(Agent Development Kit):
로우코드(적은 코딩으로 개발하는 방식) 비주얼 인터페이스부터 코드 중심 개발 환경까지, 개발자 숙련도에 따라 에이전트를 만들 수 있는 두 가지 경로를 제공합니다. Agent Studio에서 프롬프트 기반으로 시작해 복잡한 로직이 필요하면 ADK로 내보내 이어 개발할 수 있습니다.
Agent Runtime:
서브 세컨드(1초 이내) 콜드 스타트를 지원하며, 에이전트가 며칠 동안 상태를 유지하면서 자율적으로 실행되는 장기 워크플로를 처리할 수 있도록 재설계되었습니다. 영업 리드 관리처럼 며칠에 걸친 복합 작업에 적합합니다.
Memory Bank:
대화에서 장기 기억을 자동 생성·관리하여 에이전트가 사용자의 과거 맥락과 선호를 기억할 수 있게 합니다. 기존의 일회성 세션 데이터를 넘어 개인화된 상호작용이 가능해집니다.
Agent Identity, Registry, Gateway:
모든 에이전트에 고유한 암호화 ID를 부여하고, 승인된 도구와 에이전트만 중앙 레지스트리에서 관리하며, Gateway가 보안 정책과 프롬프트 주입 방어를 일괄 적용하는 구조입니다. 에이전트 '관제탑' 역할이라고 볼 수 있습니다.
Agent Simulation, Evaluation, Observability:
배포 전 합성 사용자와의 시뮬레이션 테스트, 실제 트래픽 대상 다중 턴 자동 평가, 실시간 추론 흐름 시각화가 가능합니다. Agent Optimizer는 실패 패턴을 자동 클러스터링해 개선된 시스템 지시문을 제안합니다.
모델 선택의 유연성
Model Garden을 통해 200개 이상의 모델에 접근
가능하며, 구글 자체 모델(Gemini 3.1 Pro, Gemini 3.1 Flash Image, Lyria 3, Gemma 4)뿐 아니라 Anthropic의 Claude 시리즈 같은 서드파티 모델도 지원합니다. 작업에 맞는 최적의 모델을 선택할 수 있는 구조입니다.
보안과 거버넌스 측면의 강화
Agent Sandbox:
에이전트가 생성한 코드를 호스트 시스템과 격리된 보안 환경에서 실행하여 브라우저 자동화 등의 작업에서 발생할 수 있는 위험을 차단합니다.
Agent Anomaly Detection과 Threat Detection:
통계 모델과 LLM 기반 판단을 결합해 에이전트의 비정상 추론이나 악성 활동(역방향 셸 연결, 알려진 위험 IP 접속 등)을 실시간으로 감지합니다.
Agent Security 대시보드:
에이전트와 모델 간 관계를 매핑하고, 운영체제 및 언어 패키지 수준의 취약점을 자동 스캔하는 통합 보안 대시보드를 제공합니다.
차별점
전 주기 단일 플랫폼:
개발부터 운영, 거버넌스, 최적화까지 에이전트의 전체 생애주기를 한 플랫폼에서 관리하도록 설계된 점이 기존 도구 모음과 구별됩니다. 특히 에이전트 간 위임(agent-to-agent orchestration)을 결정론적·생성적 패턴 모두 지원하는 부분은 복잡한 엔터프라이즈 워크플로에서 의미가 있습니다.
기존 Vertex AI 고객의 자연스러운 전환:
Vertex AI의 모델 빌딩·에이전트 빌딩 기능을 그대로 계승하면서 통합·운영·보안 레이어를 추가한 형태이므로, 기존 사용자에게는 확장의 성격이 강합니다.
실제 도입 사례
Comcast:
ADK로 Xfinity Assistant를 재구축해 스크립트 기반 자동화에서 대화형 생성 지능으로 전환, 고객 문제를 첫 번째 접촉에서 해결하는 비율을 높이고 있다고 밝혔습니다.
Payhawk:
Memory Bank를 활용해 금융 어시스턴트 에이전트가 사용자의 경비 처리 습관을 기억하고 자동 제출함으로써 경비 제출 시간을 50% 이상 단축했다고 전했습니다.
L'Oréal:
ADK와 MCP(Model Context Protocol)를 결합해 자체 뷰티테크 에이전트 플랫폼을 구축하고, 결정론적 워크플로 자동화에서 자율적·성과 지향적 에이전트 오케스트레이션으로 전환 중이라고 설명했습니다.
에이전트 시대를 위한 구글의 플랫폼 전략이 구체화되다
Gemini Enterprise Agent Platform은 구글 클라우드가 AI를 단순 모델 제공에서 '에이전트 운영 인프라'로 무게중심을 옮기고 있음을 보여주는 제품입니다. 에이전트에 ID를 부여하고, 이상 행동을 감지하며, 며칠 단위의 장기 실행을 보장하는 설계는 기업이 AI 에이전트를 실제 업무에 투입할 때 부딪히는 현실적인 문제들을 정면으로 다루고 있습니다. Vertex AI를 전면 흡수하는 방향성은 구글이 이 플랫폼에 상당한 전략적 무게를 두고 있다는 신호이기도 합니다. 다만, 200개 이상의 기능이 하나의 플랫폼으로 수렴되는 만큼, 실제 운영 현장에서의 복잡도 관리와 학습 곡선이 어떻게 풀리는지는 앞으로 지켜볼 부분입니다.",geeknews_28882,https://news.hada.io/topic?id=28882,2026-04-26 08:49:50.875323,0,0,4,ragingwind,,IC02
